BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.4022192,16.48717,0.18,0.5,1.0,1000.0,0.05686102,0.0014209973,0.0123759693,0.021522246
0.7291012,36.38154,0.18,1.0,1.0,1000.0,0.1029665,0.0014201312,0.0055702624,0.021491189
0.02484595,10.67612,0.185,0.1,1.0,1000.0,0.0036914377,0.0015849964,0.021313044,0.024016836
0.3891171,17.04231,0.185,0.5,1.0,1000.0,0.05790635,0.0015857664,0.0133678569,0.024014468
0.7181431,36.93668,0.185,1.0,1.0,1000.0,0.10724852,0.0015850986,0.0061256142,0.02397966
0.02358591,11.24647,0.19,0.1,1.0,1000.0,0.0037036885,0.0017633972,0.022564464,0.026720122
0.3765163,17.61267,0.19,0.5,1.0,1000.0,0.05912959,0.0017644268,0.0143026124,0.026717542
0.7072226,37.50704,0.19,1.0,1.0,1000.0,0.111727,0.0017635149,0.0066849968,0.026678377
0.02241865,11.83203,0.195,0.1,1.0,1000.0,0.0037009986,0.0019564461,0.02374821,0.029645517
0.3644011,18.19823,0.195,0.5,1.0,1000.0,0.06019698,0.0019574774,0.015457336,0.029640523
0.6963511,38.0926,0.195,1.0,1.0,1000.0,0.11605124,0.0019564788,0.0073511535,0.029598885
0.02133535,12.43281,0.2,0.1,1.0,1000.0,0.0037111108,0.0021666771,0.025036026,0.03280518
0.3527557,18.799,0.2,0.5,1.0,1000.0,0.0614459,0.0021677071,0.016508335,0.032798976
0.6855392,38.69337,0.2,1.0,1.0,1000.0,0.1198722,0.0021638828,0.0080145334,0.032752766
0.02032819,13.04879,0.205,0.1,1.0,1000.0,0.0037058077,0.0023915222,0.026220695,0.036210184
0.3415638,19.41499,0.205,0.5,1.0,1000.0,0.0623358,0.0023927497,0.017638121,0.036203267
0.6747967,39.30935,0.205,1.0,1.0,1000.0,0.12439094,0.002387653,0.0086629811,0.036135683
0.01939025,13.67998,0.21,0.1,1.0,1000.0,0.0037187651,0.0026334762,0.02767417,0.039874204
0.330809,20.04618,0.21,0.5,1.0,1000.0,0.06335362,0.0026326481,0.018802608,0.039866064
0.6641327,39.94054,0.21,1.0,1.0,1000.0,0.12786588,0.0026301029,0.0094227121,0.039791205
0.01851537,14.32638,0.215,0.1,1.0,1000.0,0.0037174416,0.0028928434,0.029067395,0.04380911
0.3204751,20.69258,0.215,0.5,1.0,1000.0,0.06439308,0.0028928713,0.020038321,0.04377498
0.6535556,40.58695,0.215,1.0,1.0,1000.0,0.1318078,0.0028896011,0.0101202343,0.04372201
0.01769805,14.98799,0.22,0.1,1.0,1000.0,0.0037162956,0.0031711195,0.030320841,0.04802831
0.3105459,21.35419,0.22,0.5,1.0,1000.0,0.06545591,0.0031714461,0.021289528,0.04799044
0.6430728,41.24856,0.22,1.0,1.0,1000.0,0.13613765,0.0031685234,0.0108927029,0.04793172
0.01693338,15.66481,0.225,0.1,1.0,1000.0,0.0037271621,0.0034690544,0.031743039,0.05254511
0.3010056,22.03101,0.225,0.5,1.0,1000.0,0.0663914,0.0034711945,0.022511566,0.05250193
0.6326914,41.92538,0.225,1.0,1.0,1000.0,0.14015954,0.0034665104,0.011695524,0.05244927
0.01621696,16.35684,0.23,0.1,1.0,1000.0,0.0037386714,0.0037878434,0.033393731,0.05737295
0.2918384,22.72304,0.23,0.5,1.0,1000.0,0.06709044,0.0037900116,0.023817363,0.05732534
0.6224176,42.61741,0.23,1.0,1.0,1000.0,0.14348807,0.0037830914,0.0126098654,0.0572674
0.01554483,17.06408,0.235,0.1,1.0,1000.0,0.0037277766,0.0041287669,0.034777539,0.06252602
0.2830294,23.43028,0.235,0.5,1.0,1000.0,0.06786835,0.004129498,0.025176097,0.06247406
0.6122572,43.32464,0.235,1.0,1.0,1000.0,0.14777713,0.0041224672,0.0135516956,0.06240971
0.01491344,17.78653,0.24,0.1,1.0,1000.0,0.003731286,0.0044919224,0.035965087,0.06801307
0.2745635,24.15272,0.24,0.5,1.0,1000.0,0.06895421,0.0044922717,0.026609981,0.06795909
0.6022151,44.04709,0.24,1.0,1.0,1000.0,0.15137094,0.0044853943,0.0144326757,0.06789568
0.01431956,18.52418,0.245,0.1,1.0,1000.0,0.0037381613,0.0048801483,0.03782534,0.07385947
0.2664264,24.89038,0.245,0.5,1.0,1000.0,0.0696151,0.0048823824,0.028099831,0.07380047
0.5922959,44.78475,0.245,1.0,1.0,1000.0,0.15514556,0.0048708854,0.015466186,0.07372546
0.01376031,19.27705,0.25,0.1,1.0,1000.0,0.0037433841,0.0052922246,0.039391593,0.08007462
0.2586044,25.64325,0.25,0.5,1.0,1000.0,0.07031271,0.0052937623,0.029485741,0.08001007
0.5825036,45.53762,0.25,1.0,1.0,1000.0,0.15903168,0.0052792889,0.016471432,0.07993277
0.01323305,20.04513,0.255,0.1,1.0,1000.0,0.0037412716,0.0057237448,0.040946161,0.08667325
0.2510838,26.41133,0.255,0.5,1.0,1000.0,0.07092479,0.005729913,0.030910302,0.08660357
0.5728415,46.30569,0.255,1.0,1.0,1000.0,0.16274083,0.0057143621,0.01754578,0.0865122
0.0127354,20.82841,0.26,0.1,1.0,1000.0,0.0037442573,0.0061867983,0.04259662,0.09361864
0.2438518,27.19461,0.26,0.5,1.0,1000.0,0.07161387,0.0061960125,0.032621359,0.09356021
0.5633128,47.08898,0.26,1.0,1.0,1000.0,0.16612238,0.0061746337,0.018695669,0.09350303
0.01226519,21.62691,0.265,0.1,1.0,1000.0,0.0037412334,0.0066798164,0.044220913,0.1010266
0.236896,27.99311,0.265,0.5,1.0,1000.0,0.07249403,0.0066826818,0.034168409,0.10102413
0.5539199,47.88747,0.265,1.0,1.0,1000.0,0.17007796,0.0066673986,0.019758967,0.1009007
0.01182045,22.44061,0.27,0.1,1.0,1000.0,0.0037502506,0.0071978015,0.046030021,0.1088651
0.2302044,28.80681,0.27,0.5,1.0,1000.0,0.07310286,0.0072024428,0.035804142,0.10886158
0.5446649,48.70118,0.27,1.0,1.0,1000.0,0.17351059,0.007187671,0.020985626,0.10872092
0.01139938,23.26953,0.275,0.1,1.0,1000.0,0.0037397809,0.0077438082,0.047850725,0.11715349
0.2237656,29.63573,0.275,0.5,1.0,1000.0,0.07386212,0.0077499952,0.037394614,0.11711989
0.5355496,49.53009,0.275,1.0,1.0,1000.0,0.17699607,0.0077340141,0.022115401,0.11700399
0.01100033,24.11365,0.28,0.1,1.0,1000.0,0.0037558175,0.0083224584,0.04935911,0.12590316
0.2175685,30.47985,0.28,0.5,1.0,1000.0,0.07434935,0.0083270413,0.039010094,0.12585451
0.5265754,50.37422,0.28,1.0,1.0,1000.0,0.18092612,0.0083120369,0.023327935,0.12574531
0.01062181,24.97298,0.285,0.1,1.0,1000.0,0.0037510611,0.0089410538,0.05120806,0.13521449
0.2116027,31.33918,0.285,0.5,1.0,1000.0,0.07493466,0.0089367514,0.040804224,0.13503875
0.5177432,51.23355,0.285,1.0,1.0,1000.0,0.18413973,0.0089254847,0.024586231,0.13496725
0.01026242,25.84753,0.29,0.1,1.0,1000.0,0.0037519747,0.0095849507,0.053046038,0.14495385
0.2058581,32.21372,0.29,0.5,1.0,1000.0,0.07547676,0.0095805058,0.042682746,0.14476402
0.5090538,52.10809,0.29,1.0,1.0,1000.0,0.18747898,0.00957802,0.026008971,0.1446532
0.009920914,26.73728,0.295,0.1,1.0,1000.0,0.0037487856,0.0102687567,0.054835662,0.15520663
0.2003251,33.10348,0.295,0.5,1.0,1000.0,0.07588914,0.0102571561,0.044465961,0.15506769
0.5005076,52.99784,0.295,1.0,1.0,1000.0,0.19004805,0.0102494176,0.027490843,0.15489551
0.009596119,27.64224,0.3,0.1,1.0,1000.0,0.003760659,0.0109827594,0.056915724,0.16583421
0.1949944,34.00844,0.3,0.5,1.0,1000.0,0.07649941,0.010970067,0.045964256,0.16584312
0.4921047,53.90281,0.3,1.0,1.0,1000.0,0.19339468,0.0109658785,0.028755935,0.16565663
0.009286969,28.56241,0.305,0.1,1.0,1000.0,0.0037521227,0.0117278888,0.05868336,0.17726797
0.1898574,34.92861,0.305,0.5,1.0,1000.0,0.07719222,0.0117279681,0.047920038,0.1771718
0.483845,54.82298,0.305,1.0,1.0,1000.0,0.19628339,0.0117119486,0.030254657,0.17697091
0.008992478,29.49779,0.31,0.1,1.0,1000.0,0.0037743677,0.01251483,0.06076811,0.18912439
0.1849057,35.86399,0.31,0.5,1.0,1000.0,0.07754825,0.012496594,0.049598316,0.18907107
0.4757282,55.75836,0.31,1.0,1.0,1000.0,0.19931038,0.012500629,0.031733862,0.18885278
0.008711735,30.44838,0.315,0.1,1.0,1000.0,0.0037667118,0.013338486,0.062733762,0.20159386
0.1801312,36.81458,0.315,0.5,1.0,1000.0,0.07791795,0.013324056,0.051743141,0.20155941
0.4677538,56.70895,0.315,1.0,1.0,1000.0,0.20300038,0.01332692,0.033340807,0.20133702
0.008443901,31.41418,0.32,0.1,1.0,1000.0,0.0037798696,0.014203608,0.06476072,0.21462375
0.1755265,37.78038,0.32,0.5,1.0,1000.0,0.07852685,0.014189302,0.053391387,0.21465615
0.459921,57.67475,0.32,1.0,1.0,1000.0,0.20596617,0.014189642,0.034843608,0.21439369
0.008188199,32.39519,0.325,0.1,1.0,1000.0,0.0037694042,0.015112041,0.066566921,0.22834955
0.1710841,38.76139,0.325,0.5,1.0,1000.0,0.07908301,0.015083571,0.055568489,0.22827969
0.4522288,58.65575,0.325,1.0,1.0,1000.0,0.20911369,0.015093092,0.036435771,0.22808174
0.007943907,33.39141,0.33,0.1,1.0,1000.0,0.0037725186,0.016061436,0.068511288,0.24281767
0.1667972,39.7576,0.33,0.5,1.0,1000.0,0.07933105,0.016038103,0.057780227,0.24264172
0.4446764,59.65197,0.33,1.0,1.0,1000.0,0.21190618,0.016035634,0.037993599,0.24239597
0.00771036,34.40283,0.335,0.1,1.0,1000.0,0.0037749776,0.017065927,0.070848242,0.25786144
0.1626591,40.76903,0.335,0.5,1.0,1000.0,0.07960159,0.017031152,0.059483548,0.25772242
0.4372624,60.6634,0.335,1.0,1.0,1000.0,0.21369412,0.017042211,0.039730435,0.25743198
0.007486938,35.42947,0.34,0.1,1.0,1000.0,0.0037800096,0.01809363,0.072911711,0.27359053
0.1586637,41.79567,0.34,0.5,1.0,1000.0,0.07996673,0.018074901,0.061362347,0.27342755
0.4299855,61.69004,0.34,1.0,1.0,1000.0,0.21685583,0.018075452,0.041368146,0.27301621
0.007273064,36.47132,0.345,0.1,1.0,1000.0,0.0037751131,0.019168331,0.075037225,0.29003026
0.1548049,42.83751,0.345,0.5,1.0,1000.0,0.08053936,0.019151561,0.063728882,0.28991214
0.4228444,62.73188,0.345,1.0,1.0,1000.0,0.21984522,0.019164542,0.043319734,0.28940706
0.2537533,1.568009,0.05,0.1,1.0,1500.0,0.00043994358,2.218331e-06,0.000192729127,3.7854484e-05
0.8947478,11.11731,0.05,0.5,1.0,1500.0,0.0015665317,2.220046e-06,2.73769592e-05,3.7853156e-05
0.9714318,40.95886,0.05,1.0,1.0,1500.0,0.0017255357,2.2174801e-06,7.4474103e-06,3.7832891e-05
0.2193747,1.813734,0.055,0.1,1.0,1500.0,0.00045987392,3.2487488e-06,0.000243299628,5.542264e-05
0.8753988,11.36303,0.055,0.5,1.0,1500.0,0.001855218,3.2503658e-06,3.9089782e-05,5.542055e-05
0.9656386,41.20458,0.055,1.0,1.0,1500.0,0.0020833684,3.2463999e-06,1.08633115e-05,5.539079e-05
0.1910292,2.082862,0.06,0.1,1.0,1500.0,0.00047778171,4.6012205e-06,0.000300112932,7.849494e-05
0.8551452,11.63216,0.06,0.5,1.0,1500.0,0.0021545741,4.6034494e-06,5.3768247e-05,7.849183e-05
0.9593725,41.47371,0.06,1.0,1.0,1500.0,0.0024594583,4.5966866e-06,1.52107071e-05,7.844889e-05
0.1675039,2.375392,0.065,0.1,1.0,1500.0,0.00049209114,6.3375327e-06,0.00036474148,0.00010811635
0.8341672,11.92469,0.065,0.5,1.0,1500.0,0.0024703347,6.3405704e-06,7.2481868e-05,0.00010811021
0.952653,41.76624,0.065,1.0,1.0,1500.0,0.0028566649,6.3334335e-06,2.0896119e-05,0.0001080529
0.1478407,2.691325,0.07,0.1,1.0,1500.0,0.00050259246,8.5243113e-06,0.00042962673,0.00014542186
0.8126372,12.24062,0.07,0.5,1.0,1500.0,0.0027910393,8.5283294e-06,9.4520837e-05,0.00014541467
0.945501,42.08217,0.07,1.0,1.0,1500.0,0.003305107,8.5200045e-06,2.782107e-05,0.00014533588
0.1312874,3.03066,0.075,0.1,1.0,1500.0,0.00051226449,1.12340934e-05,0.0005045768,0.00019163921
0.7907169,12.57996,0.075,0.5,1.0,1500.0,0.0031117087,1.12384551e-05,0.000121384605,0.00019162994
0.9379378,42.42151,0.075,1.0,1.0,1500.0,0.0037608771,1.12278632e-05,3.630615e-05,0.00019152658
0.1172534,3.393398,0.08,0.1,1.0,1500.0,0.00052211263,1.4542157e-05,0.00058497053,0.00024808107
0.7685559,12.94269,0.08,0.5,1.0,1500.0,0.0034421982,1.4541584e-05,0.00015316673,0.00024807171
0.9299857,42.78425,0.08,1.0,1.0,1500.0,0.0042343195,1.4534618e-05,4.6686608e-05,0.0002479346
