BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.664133,39.94054,0.21,1.0,1.0,1000.0,0.12786588,0.0026301029,0.0094227121,0.039791205
0.816483,73.097825,0.21,1.5,1.0,1000.0,0.15731309,0.0026289207,0.0050569014,0.039793478
0.017698,14.98799,0.22,0.1,1.0,1000.0,0.0037162956,0.0031711195,0.030320841,0.04802831
0.310546,21.35419,0.22,0.5,1.0,1000.0,0.06545591,0.0031714461,0.021289528,0.04799044
0.643073,41.24856,0.22,1.0,1.0,1000.0,0.13613765,0.0031685234,0.0108927029,0.04793172
0.802129,74.405836,0.22,1.5,1.0,1000.0,0.16890666,0.0031669953,0.0059960902,0.04795076
0.016217,16.35684,0.23,0.1,1.0,1000.0,0.0037386714,0.0037878434,0.033393731,0.05737295
0.291838,22.72304,0.23,0.5,1.0,1000.0,0.06709044,0.0037900116,0.023817363,0.05732534
0.622418,42.61741,0.23,1.0,1.0,1000.0,0.14348807,0.0037830914,0.0126098654,0.0572674
0.787639,75.774685,0.23,1.5,1.0,1000.0,0.18251681,0.0037794128,0.0070044136,0.05722999
0.014913,17.78653,0.24,0.1,1.0,1000.0,0.003731286,0.0044919224,0.035965087,0.06801307
0.274564,24.15272,0.24,0.5,1.0,1000.0,0.06895421,0.0044922717,0.026609981,0.06795909
0.602215,44.04709,0.24,1.0,1.0,1000.0,0.15137094,0.0044853943,0.0144326757,0.06789568
0.773053,77.204372,0.24,1.5,1.0,1000.0,0.19436481,0.0044862398,0.0081361125,0.06774652
0.01376,19.27705,0.25,0.1,1.0,1000.0,0.0037433841,0.0052922246,0.039391593,0.08007462
0.258604,25.64325,0.25,0.5,1.0,1000.0,0.07031271,0.0052937623,0.029485741,0.08001007
0.582504,45.53762,0.25,1.0,1.0,1000.0,0.15903168,0.0052792889,0.016471432,0.07993277
0.758411,78.694897,0.25,1.5,1.0,1000.0,0.20686137,0.0052853196,0.0093960321,0.07974085
0.012735,20.82841,0.26,0.1,1.0,1000.0,0.0037442573,0.0061867983,0.04259662,0.09361864
0.243852,27.19461,0.26,0.5,1.0,1000.0,0.07161387,0.0061960125,0.032621359,0.09356021
0.563313,47.08898,0.26,1.0,1.0,1000.0,0.16612238,0.0061746337,0.018695669,0.09350303
0.743749,80.246259,0.26,1.5,1.0,1000.0,0.22000814,0.0061753924,0.0107893479,0.09331694
0.01182,22.44061,0.27,0.1,1.0,1000.0,0.0037502506,0.0071978015,0.046030021,0.1088651
0.230204,28.80681,0.27,0.5,1.0,1000.0,0.07310286,0.0072024428,0.035804142,0.10886158
0.544665,48.70118,0.27,1.0,1.0,1000.0,0.17351059,0.007187671,0.020985626,0.10872092
0.729101,81.858459,0.27,1.5,1.0,1000.0,0.23157182,0.0071775114,0.0123054989,0.10846902
0.011,24.11365,0.28,0.1,1.0,1000.0,0.0037558175,0.0083224584,0.04935911,0.12590316
0.217568,30.47985,0.28,0.5,1.0,1000.0,0.07434935,0.0083270413,0.039010094,0.12585451
0.526575,50.37422,0.28,1.0,1.0,1000.0,0.18092612,0.0083120369,0.023327935,0.12574531
0.714498,83.531497,0.28,1.5,1.0,1000.0,0.24477723,0.0083150717,0.013931951,0.12533866
0.010262,25.84753,0.29,0.1,1.0,1000.0,0.0037519747,0.0095849507,0.053046038,0.14495385
0.205858,32.21372,0.29,0.5,1.0,1000.0,0.07547676,0.0095805058,0.042682746,0.14476402
0.509054,52.10809,0.29,1.0,1.0,1000.0,0.18747898,0.00957802,0.026008971,0.1446532
0.699969,85.265372,0.29,1.5,1.0,1000.0,0.25831709,0.0095438881,0.015736947,0.14421158
0.009596,27.64224,0.3,0.1,1.0,1000.0,0.003760659,0.0109827594,0.056915724,0.16583421
0.194994,34.00844,0.3,0.5,1.0,1000.0,0.07649941,0.010970067,0.045964256,0.16584312
0.492105,53.90281,0.3,1.0,1.0,1000.0,0.19339468,0.0109658785,0.028755935,0.16565663
0.685539,87.060086,0.3,1.5,1.0,1000.0,0.26974582,0.0109399993,0.017555183,0.1650067
0.008992,29.49779,0.31,0.1,1.0,1000.0,0.0037743677,0.01251483,0.06076811,0.18912439
0.184906,35.86399,0.31,0.5,1.0,1000.0,0.07754825,0.012496594,0.049598316,0.18907107
0.475728,55.75836,0.31,1.0,1.0,1000.0,0.19931038,0.012500629,0.031733862,0.18885278
0.671233,88.915637,0.31,1.5,1.0,1000.0,0.28349944,0.0124535658,0.01969674,0.18820906
0.008444,31.41418,0.32,0.1,1.0,1000.0,0.0037798696,0.014203608,0.06476072,0.21462375
0.175527,37.78038,0.32,0.5,1.0,1000.0,0.07852685,0.014189302,0.053391387,0.21465615
0.459921,57.67475,0.32,1.0,1.0,1000.0,0.20596617,0.014189642,0.034843608,0.21439369
0.657071,90.832025,0.32,1.5,1.0,1000.0,0.29484743,0.014146583,0.021725916,0.21361607
0.007944,33.39141,0.33,0.1,1.0,1000.0,0.0037725186,0.016061436,0.068511288,0.24281767
0.166797,39.7576,0.33,0.5,1.0,1000.0,0.07933105,0.016038103,0.057780227,0.24264172
0.444676,59.65197,0.33,1.0,1.0,1000.0,0.21190618,0.016035634,0.037993599,0.24239597
0.643073,92.809252,0.33,1.5,1.0,1000.0,0.30668616,0.015998712,0.024151293,0.24152849
0.007487,35.42947,0.34,0.1,1.0,1000.0,0.0037800096,0.01809363,0.072911711,0.27359053
0.158664,41.79567,0.34,0.5,1.0,1000.0,0.07996673,0.018074901,0.061362347,0.27342755
0.429986,61.69004,0.34,1.0,1.0,1000.0,0.21685583,0.018075452,0.041368146,0.27301621
0.629255,94.847316,0.34,1.5,1.0,1000.0,0.31580284,0.018006425,0.026601206,0.27203108
0.894748,0.444692,0.01,0.1,1.0,1500.0,6.2078086e-05,3.5502141e-09,1.08383301e-06,6.056735e-08
0.995317,9.993989,0.01,0.5,1.0,1500.0,6.9628692e-05,3.5522539e-09,4.848506e-08,6.056532e-08
0.998825,39.835541,0.01,1.0,1.0,1500.0,7.0763402e-05,3.5477949e-09,1.22267899e-08,6.05341e-08
